purchase_id,product_id,quantity,unit_price,purchase_date
10302,28,28,36.4,2016-09-10
10302,43,12,36.8,2016-09-10
10303,40,40,14.7,2016-09-11
10303,65,30,16.8,2016-09-11
10303,68,15,10.0,2016-09-11
10304,49,30,16.0,2016-09-12
10304,59,10,44.0,2016-09-12
10304,71,2,17.2,2016-09-12
10305,18,25,50.0,2016-09-13
10305,29,25,99.0,2016-09-13
10305,39,30,14.4,2016-09-13
10306,30,10,20.7,2016-09-16
10306,53,10,26.2,2016-09-16
10306,54,5,5.9,2016-09-16
10307,62,10,39.4,2016-09-17
10307,68,3,10.0,2016-09-17
10308,69,1,28.8,2016-09-18
10308,70,5,12.0,2016-09-18
10309,4,20,17.6,2016-09-19
10309,6,30,20.0,2016-09-19
10309,42,2,11.2,2016-09-19
10309,43,20,36.8,2016-09-19
10309,71,3,17.2,2016-09-19
10310,16,10,13.9,2016-09-20
10310,62,5,39.4,2016-09-20
10311,42,6,11.2,2016-09-20
10311,69,7,28.8,2016-09-20
10312,28,4,36.4,2016-09-23
10312,43,24,36.8,2016-09-23
10312,53,20,26.2,2016-09-23
10312,75,10,6.2,2016-09-23
10313,36,12,15.2,2016-09-24
10314,32,40,25.6,2016-09-25
10314,58,30,10.6,2016-09-25
10314,62,25,39.4,2016-09-25
10315,34,14,11.2,2016-09-26
10315,70,30,12.0,2016-09-26
10316,41,10,7.7,2016-09-27
10316,62,70,39.4,2016-09-27
10317,1,20,14.4,2016-09-30
10318,41,20,7.7,2016-10-01
10318,76,6,14.4,2016-10-01
10319,17,8,31.2,2016-10-02
10319,28,14,36.4,2016-10-02
10319,76,30,14.4,2016-10-02
10320,71,30,17.2,2016-10-03
10321,35,10,14.4,2016-10-03
10322,52,20,5.6,2016-10-04
10323,15,5,12.4,2016-10-07
10323,25,4,11.2,2016-10-07
10323,39,4,14.4,2016-10-07
10324,16,21,13.9,2016-10-08
10324,35,70,14.4,2016-10-08
10324,46,30,9.6,2016-10-08
10324,59,40,44.0,2016-10-08
10324,63,80,35.1,2016-10-08
10325,6,6,20.0,2016-10-09
10325,13,12,4.8,2016-10-09
10325,14,9,18.6,2016-10-09
10325,31,4,10.0,2016-10-09
10325,72,40,27.8,2016-10-09
10326,4,24,17.6,2016-10-10
10326,57,16,15.6,2016-10-10
10326,75,50,6.2,2016-10-10
10327,2,25,15.2,2016-10-11
10327,11,50,16.8,2016-10-11
10327,30,35,20.7,2016-10-11
10327,58,30,10.6,2016-10-11
10328,59,9,44.0,2016-10-14
10328,65,40,16.8,2016-10-14
10328,68,10,10.0,2016-10-14
10329,19,10,7.3,2016-10-15
10329,30,8,20.7,2016-10-15
10329,38,20,210.8,2016-10-15
10329,56,12,30.4,2016-10-15
10330,26,50,24.9,2016-10-16
10330,72,25,27.8,2016-10-16
10331,54,15,5.9,2016-10-16
10332,18,40,50.0,2016-10-17
10332,42,10,11.2,2016-10-17
10332,47,16,7.6,2016-10-17
10333,14,10,18.6,2016-10-18
10333,21,10,8.0,2016-10-18
10333,71,40,17.2,2016-10-18
10334,52,8,5.6,2016-10-21
10334,68,10,10.0,2016-10-21
10335,2,7,15.2,2016-10-22
10335,31,25,10.0,2016-10-22
10335,32,6,25.6,2016-10-22
10335,51,48,42.4,2016-10-22
10336,4,18,17.6,2016-10-23
10337,23,40,7.2,2016-10-24
10337,26,24,24.9,2016-10-24
10337,36,20,15.2,2016-10-24
10337,37,28,20.8,2016-10-24
10337,72,25,27.8,2016-10-24
10338,17,20,31.2,2016-10-25
10338,30,15,20.7,2016-10-25
10339,4,10,17.6,2016-10-28
10339,17,70,31.2,2016-10-28
10339,62,28,39.4,2016-10-28
10340,18,20,50.0,2016-10-29
10340,41,12,7.7,2016-10-29
10340,43,40,36.8,2016-10-29
10341,33,8,2.0,2016-10-29
10341,59,9,44.0,2016-10-29
10342,2,24,15.2,2016-10-30
10342,31,56,10.0,2016-10-30
10342,36,40,15.2,2016-10-30
10342,55,40,19.2,2016-10-30
10343,64,50,26.6,2016-10-31
10343,68,4,10.0,2016-10-31
10343,76,15,14.4,2016-10-31
10344,4,35,17.6,2016-11-01
10344,8,70,32.0,2016-11-01
10345,8,70,32.0,2016-11-04
10345,19,80,7.3,2016-11-04
10345,42,9,11.2,2016-11-04
10346,17,36,31.2,2016-11-05
10346,56,20,30.4,2016-11-05
10347,25,10,11.2,2016-11-06
10347,39,50,14.4,2016-11-06
10347,40,4,14.7,2016-11-06
10347,75,6,6.2,2016-11-06
10348,1,15,14.4,2016-11-07
10348,23,25,7.2,2016-11-07
10349,54,24,5.9,2016-11-08
10350,50,15,13.0,2016-11-11
10350,69,18,28.8,2016-11-11
10351,38,20,210.8,2016-11-11
10351,41,13,7.7,2016-11-11
10351,44,77,15.5,2016-11-11
10351,65,10,16.8,2016-11-11
10352,24,10,3.6,2016-11-12
10352,54,20,5.9,2016-11-12
10353,11,12,16.8,2016-11-13
10353,38,50,210.8,2016-11-13
10354,1,12,14.4,2016-11-14
10354,29,4,99.0,2016-11-14
10355,24,25,3.6,2016-11-15
10355,57,25,15.6,2016-11-15
10356,31,30,10.0,2016-11-18
10356,55,12,19.2,2016-11-18
10356,69,20,28.8,2016-11-18
10357,10,30,24.8,2016-11-19
10357,26,16,24.9,2016-11-19
10357,60,8,27.2,2016-11-19
10358,24,10,3.6,2016-11-20
10358,34,10,11.2,2016-11-20
10358,36,20,15.2,2016-11-20
10359,16,56,13.9,2016-11-21
10359,31,70,10.0,2016-11-21
10359,60,80,27.2,2016-11-21
10360,28,30,36.4,2016-11-22
10360,29,35,99.0,2016-11-22
10360,38,10,210.8,2016-11-22
10360,49,35,16.0,2016-11-22
10360,54,28,5.9,2016-11-22
10361,39,54,14.4,2016-11-22
10361,60,55,27.2,2016-11-22
10362,25,50,11.2,2016-11-25
10362,51,20,42.4,2016-11-25
10362,54,24,5.9,2016-11-25
10363,31,20,10.0,2016-11-26
10363,75,12,6.2,2016-11-26
10363,76,12,14.4,2016-11-26
10364,69,30,28.8,2016-11-26
10364,71,5,17.2,2016-11-26
10365,11,24,16.8,2016-11-27
10366,65,5,16.8,2016-11-28
10366,77,5,10.4,2016-11-28
10367,34,36,11.2,2016-11-28
10367,54,18,5.9,2016-11-28
10367,65,15,16.8,2016-11-28
10367,77,7,10.4,2016-11-28
10368,21,5,8.0,2016-11-29
10368,28,13,36.4,2016-11-29
10368,57,25,15.6,2016-11-29
10368,64,35,26.6,2016-11-29
10369,29,20,99.0,2016-12-02
10369,56,18,30.4,2016-12-02
10370,1,15,14.4,2016-12-03
10370,64,30,26.6,2016-12-03
10370,74,20,8.0,2016-12-03
10371,36,6,15.2,2016-12-03
10372,20,12,64.8,2016-12-04
10372,38,40,210.8,2016-12-04
10372,60,70,27.2,2016-12-04
10372,72,42,27.8,2016-12-04
10373,58,80,10.6,2016-12-05
10373,71,50,17.2,2016-12-05
10374,31,30,10.0,2016-12-05
10374,58,15,10.6,2016-12-05
10375,14,15,18.6,2016-12-06
10375,54,10,5.9,2016-12-06
10376,31,42,10.0,2016-12-09
10377,28,20,36.4,2016-12-09
10377,39,20,14.4,2016-12-09
10378,71,6,17.2,2016-12-10
10379,41,8,7.7,2016-12-11
10379,63,16,35.1,2016-12-11
10379,65,20,16.8,2016-12-11
10380,30,18,20.7,2016-12-12
10380,53,20,26.2,2016-12-12
10380,60,6,27.2,2016-12-12
10380,70,30,12.0,2016-12-12
10381,74,14,8.0,2016-12-12
10382,5,32,17.0,2016-12-13
10382,18,9,50.0,2016-12-13
10382,29,14,99.0,2016-12-13
10382,33,60,2.0,2016-12-13
10382,74,50,8.0,2016-12-13
10383,13,20,4.8,2016-12-16
10383,50,15,13.0,2016-12-16
10383,56,20,30.4,2016-12-16
10384,20,28,64.8,2016-12-16
10384,60,15,27.2,2016-12-16
10385,7,10,24.0,2016-12-17
10385,60,20,27.2,2016-12-17
10385,68,8,10.0,2016-12-17
10386,24,15,3.6,2016-12-18
10386,34,10,11.2,2016-12-18
10387,24,15,3.6,2016-12-18
10387,28,6,36.4,2016-12-18
10387,59,12,44.0,2016-12-18
10387,71,15,17.2,2016-12-18
10388,45,15,7.6,2016-12-19
10388,52,20,5.6,2016-12-19
10388,53,40,26.2,2016-12-19
10389,10,16,24.8,2016-12-20
10389,55,15,19.2,2016-12-20
10389,62,20,39.4,2016-12-20
10389,70,30,12.0,2016-12-20
10390,31,60,10.0,2016-12-23
10390,35,40,14.4,2016-12-23
10390,46,45,9.6,2016-12-23
10390,72,24,27.8,2016-12-23
10391,13,18,4.8,2016-12-23
10392,69,50,28.8,2016-12-24
10393,2,25,15.2,2016-12-25
10393,14,42,18.6,2016-12-25
10393,25,7,11.2,2016-12-25
10393,26,70,24.9,2016-12-25
10393,31,32,10.0,2016-12-25
10394,13,10,4.8,2016-12-25
10394,62,10,39.4,2016-12-25
10395,46,28,9.6,2016-12-26
10395,53,70,26.2,2016-12-26
10395,69,8,28.8,2016-12-26
10396,23,40,7.2,2016-12-27
10396,71,60,17.2,2016-12-27
10396,72,21,27.8,2016-12-27
10397,21,10,8.0,2016-12-27
10397,51,18,42.4,2016-12-27
10398,35,30,14.4,2016-12-30
10398,55,120,19.2,2016-12-30
10399,68,60,10.0,2016-12-31
10399,71,30,17.2,2016-12-31
10399,76,35,14.4,2016-12-31
10399,77,14,10.4,2016-12-31
10400,29,21,99.0,2017-01-01
10400,35,35,14.4,2017-01-01
10400,49,30,16.0,2017-01-01
10401,30,18,20.7,2017-01-01
10401,56,70,30.4,2017-01-01
10401,65,20,16.8,2017-01-01
10401,71,60,17.2,2017-01-01
10402,23,60,7.2,2017-01-02
10402,63,65,35.1,2017-01-02
10403,16,21,13.9,2017-01-03
10403,48,70,10.2,2017-01-03
10404,26,30,24.9,2017-01-03
10404,42,40,11.2,2017-01-03
10404,49,30,16.0,2017-01-03
10405,3,50,8.0,2017-01-06
10406,1,10,14.4,2017-01-07
10406,21,30,8.0,2017-01-07
10406,28,42,36.4,2017-01-07
10406,36,5,15.2,2017-01-07
10406,40,2,14.7,2017-01-07
10407,11,30,16.8,2017-01-07
10407,69,15,28.8,2017-01-07
10407,71,15,17.2,2017-01-07
10408,37,10,20.8,2017-01-08
10408,54,6,5.9,2017-01-08
10408,62,35,39.4,2017-01-08
10409,14,12,18.6,2017-01-09
10409,21,12,8.0,2017-01-09
10410,33,49,2.0,2017-01-10
10410,59,16,44.0,2017-01-10
10411,41,25,7.7,2017-01-10
10411,44,40,15.5,2017-01-10
10411,59,9,44.0,2017-01-10
10412,14,20,18.6,2017-01-13
10413,1,24,14.4,2017-01-14
10413,62,40,39.4,2017-01-14
10413,76,14,14.4,2017-01-14
10414,19,18,7.3,2017-01-14
10414,33,50,2.0,2017-01-14
10415,17,2,31.2,2017-01-15
10415,33,20,2.0,2017-01-15
10416,19,20,7.3,2017-01-16
10416,53,10,26.2,2017-01-16
10416,57,20,15.6,2017-01-16
10417,38,50,210.8,2017-01-16
10417,46,2,9.6,2017-01-16
10417,68,36,10.0,2017-01-16
10417,77,35,10.4,2017-01-16
10418,2,60,15.2,2017-01-17
10418,47,55,7.6,2017-01-17
10418,61,16,22.8,2017-01-17
10418,74,15,8.0,2017-01-17
10419,60,60,27.2,2017-01-20
10419,69,20,28.8,2017-01-20
10420,9,20,77.6,2017-01-21
10420,13,2,4.8,2017-01-21
10420,70,8,12.0,2017-01-21
10420,73,20,12.0,2017-01-21
10421,19,4,7.3,2017-01-21
10421,26,30,24.9,2017-01-21
10421,53,15,26.2,2017-01-21
10421,77,10,10.4,2017-01-21
10422,26,2,24.9,2017-01-22
10423,31,14,10.0,2017-01-23
10423,59,20,44.0,2017-01-23
10424,35,60,14.4,2017-01-23
10424,38,49,210.8,2017-01-23
10424,68,30,10.0,2017-01-23
10425,55,10,19.2,2017-01-24
10425,76,20,14.4,2017-01-24
10426,56,5,30.4,2017-01-27
10426,64,7,26.6,2017-01-27
10427,14,35,18.6,2017-01-27
10428,46,20,9.6,2017-01-28
10429,50,40,13.0,2017-01-29
10429,63,35,35.1,2017-01-29
10430,17,45,31.2,2017-01-30
10430,21,50,8.0,2017-01-30
10430,56,30,30.4,2017-01-30
10430,59,70,44.0,2017-01-30
10431,17,50,31.2,2017-01-30
10431,40,50,14.7,2017-01-30
10431,47,30,7.6,2017-01-30
10432,26,10,24.9,2017-01-31
10432,54,40,5.9,2017-01-31
10433,56,28,30.4,2017-02-03
10434,11,6,16.8,2017-02-03
10434,76,18,14.4,2017-02-03
10435,2,10,15.2,2017-02-04
10435,22,12,16.8,2017-02-04
10435,72,10,27.8,2017-02-04
10436,46,5,9.6,2017-02-05
10436,56,40,30.4,2017-02-05
10436,64,30,26.6,2017-02-05
10436,75,24,6.2,2017-02-05
10437,53,15,26.2,2017-02-05
10438,19,15,7.3,2017-02-06
10438,34,20,11.2,2017-02-06
10438,57,15,15.6,2017-02-06
10439,12,15,30.4,2017-02-07
10439,16,16,13.9,2017-02-07
10439,64,6,26.6,2017-02-07
10439,74,30,8.0,2017-02-07
10440,2,45,15.2,2017-02-10
10440,16,49,13.9,2017-02-10
10440,29,24,99.0,2017-02-10
10440,61,90,22.8,2017-02-10
10441,27,50,35.1,2017-02-10
10442,11,30,16.8,2017-02-11
10442,54,80,5.9,2017-02-11
10442,66,60,13.6,2017-02-11
10443,11,6,16.8,2017-02-12
10443,28,12,36.4,2017-02-12
10444,17,10,31.2,2017-02-12
10444,26,15,24.9,2017-02-12
10444,35,8,14.4,2017-02-12
10444,41,30,7.7,2017-02-12
10445,39,6,14.4,2017-02-13
10445,54,15,5.9,2017-02-13
10446,19,12,7.3,2017-02-14
10446,24,20,3.6,2017-02-14
10446,31,3,10.0,2017-02-14
10446,52,15,5.6,2017-02-14
10447,19,40,7.3,2017-02-14
10447,65,35,16.8,2017-02-14
10447,71,2,17.2,2017-02-14
10448,26,6,24.9,2017-02-17
10448,40,20,14.7,2017-02-17
10449,10,14,24.8,2017-02-18
10449,52,20,5.6,2017-02-18
10449,62,35,39.4,2017-02-18
10450,10,20,24.8,2017-02-19
10450,54,6,5.9,2017-02-19
10451,55,120,19.2,2017-02-19
10451,64,35,26.6,2017-02-19
10451,65,28,16.8,2017-02-19
10451,77,55,10.4,2017-02-19
10452,28,15,36.4,2017-02-20
10452,44,100,15.5,2017-02-20
10453,48,15,10.2,2017-02-21
10453,70,25,12.0,2017-02-21
10454,16,20,13.9,2017-02-21
10454,33,20,2.0,2017-02-21
10454,46,10,9.6,2017-02-21
10455,39,20,14.4,2017-02-24
10455,53,50,26.2,2017-02-24
10455,61,25,22.8,2017-02-24
10455,71,30,17.2,2017-02-24
10456,21,40,8.0,2017-02-25
10456,49,21,16.0,2017-02-25
10457,59,36,44.0,2017-02-25
10458,26,30,24.9,2017-02-26
10458,28,30,36.4,2017-02-26
10458,43,20,36.8,2017-02-26
10458,56,15,30.4,2017-02-26
10458,71,50,17.2,2017-02-26
10459,7,16,24.0,2017-02-27
10459,46,20,9.6,2017-02-27
10459,72,40,27.8,2017-02-27
10460,68,21,10.0,2017-02-28
10460,75,4,6.2,2017-02-28
10461,21,40,8.0,2017-02-28
10461,30,28,20.7,2017-02-28
10461,55,60,19.2,2017-02-28
10462,13,1,4.8,2017-03-03
10462,23,21,7.2,2017-03-03
10463,19,21,7.3,2017-03-04
10463,42,50,11.2,2017-03-04
10464,4,16,17.6,2017-03-04
10464,43,3,36.8,2017-03-04
10464,56,30,30.4,2017-03-04
10464,60,20,27.2,2017-03-04
10465,24,25,3.6,2017-03-05
10465,29,18,99.0,2017-03-05
10465,40,20,14.7,2017-03-05
10465,45,30,7.6,2017-03-05
10465,50,25,13.0,2017-03-05
10466,11,10,16.8,2017-03-06
10466,46,5,9.6,2017-03-06
10467,24,28,3.6,2017-03-06
10467,25,12,11.2,2017-03-06
10468,30,8,20.7,2017-03-07
10468,43,15,36.8,2017-03-07
10469,2,40,15.2,2017-03-10
10469,16,35,13.9,2017-03-10
10469,44,2,15.5,2017-03-10
10470,18,30,50.0,2017-03-11
10470,23,15,7.2,2017-03-11
10470,64,8,26.6,2017-03-11
10471,7,30,24.0,2017-03-11
10471,56,20,30.4,2017-03-11
10472,24,80,3.6,2017-03-12
10472,51,18,42.4,2017-03-12
10473,33,12,2.0,2017-03-13
10473,71,12,17.2,2017-03-13
10474,14,12,18.6,2017-03-13
10474,28,18,36.4,2017-03-13
10474,40,21,14.7,2017-03-13
10474,75,10,6.2,2017-03-13
10475,31,35,10.0,2017-03-14
10475,66,60,13.6,2017-03-14
10475,76,42,14.4,2017-03-14
10476,55,2,19.2,2017-03-17
10476,70,12,12.0,2017-03-17
10477,1,15,14.4,2017-03-17
10477,21,21,8.0,2017-03-17
10477,39,20,14.4,2017-03-17
10478,10,20,24.8,2017-03-18
10479,38,30,210.8,2017-03-19
10479,53,28,26.2,2017-03-19
10479,59,60,44.0,2017-03-19
10479,64,30,26.6,2017-03-19
10480,47,30,7.6,2017-03-20
10480,59,12,44.0,2017-03-20
10481,49,24,16.0,2017-03-20
10481,60,40,27.2,2017-03-20
10482,40,10,14.7,2017-03-21
10483,34,35,11.2,2017-03-24
10483,77,30,10.4,2017-03-24
10484,21,14,8.0,2017-03-24
10484,40,10,14.7,2017-03-24
10484,51,3,42.4,2017-03-24
10485,2,20,15.2,2017-03-25
10485,3,20,8.0,2017-03-25
10485,55,30,19.2,2017-03-25
10485,70,60,12.0,2017-03-25
10486,11,5,16.8,2017-03-26
10486,51,25,42.4,2017-03-26
10486,74,16,8.0,2017-03-26
10487,19,5,7.3,2017-03-26
10487,26,30,24.9,2017-03-26
10487,54,24,5.9,2017-03-26
10488,59,30,44.0,2017-03-27
10488,73,20,12.0,2017-03-27
10489,11,15,16.8,2017-03-28
10489,16,18,13.9,2017-03-28
10490,59,60,44.0,2017-03-31
10490,68,30,10.0,2017-03-31
10490,75,36,6.2,2017-03-31
10491,44,15,15.5,2017-03-31
10491,77,7,10.4,2017-03-31
10492,25,60,11.2,2017-04-01
10492,42,20,11.2,2017-04-01
10493,65,15,16.8,2017-04-02
10493,66,10,13.6,2017-04-02
10493,69,10,28.8,2017-04-02
10494,56,30,30.4,2017-04-02
10495,23,10,7.2,2017-04-03
10495,41,20,7.7,2017-04-03
10495,77,5,10.4,2017-04-03
10496,31,20,10.0,2017-04-04
10497,56,14,30.4,2017-04-04
10497,72,25,27.8,2017-04-04
10497,77,25,10.4,2017-04-04
10498,24,14,4.5,2017-04-07
10498,40,5,18.4,2017-04-07
10498,42,30,14.0,2017-04-07
10499,28,20,45.6,2017-04-08
10499,49,25,20.0,2017-04-08
10500,15,12,15.5,2017-04-09
10500,28,8,45.6,2017-04-09
10501,54,20,7.45,2017-04-09
10502,45,21,9.5,2017-04-10
10502,53,6,32.8,2017-04-10
10502,67,30,14.0,2017-04-10
10503,14,70,23.25,2017-04-11
10503,65,20,21.05,2017-04-11
10504,2,12,19.0,2017-04-11
10504,21,12,10.0,2017-04-11
10504,53,10,32.8,2017-04-11
10504,61,25,28.5,2017-04-11
10505,62,3,49.3,2017-04-14
10506,25,18,14.0,2017-04-15
10506,70,14,15.0,2017-04-15
10507,43,15,46.0,2017-04-15
10507,48,15,12.75,2017-04-15
10508,13,10,6.0,2017-04-16
10508,39,10,18.0,2017-04-16
10509,28,3,45.6,2017-04-17
10510,29,36,123.79,2017-04-18
10510,75,36,7.75,2017-04-18
10511,4,50,22.0,2017-04-18
10511,7,50,30.0,2017-04-18
10511,8,10,40.0,2017-04-18
10512,24,10,4.5,2017-04-21
10512,46,9,12.0,2017-04-21
10512,47,6,9.5,2017-04-21
10512,60,12,34.0,2017-04-21
10513,21,40,10.0,2017-04-22
10513,32,50,32.0,2017-04-22
10513,61,15,28.5,2017-04-22
10514,20,39,81.0,2017-04-22
10514,28,35,45.6,2017-04-22
10514,56,70,38.0,2017-04-22
10514,65,39,21.05,2017-04-22
10514,75,50,7.75,2017-04-22
10515,9,16,97.0,2017-04-23
10515,16,50,17.45,2017-04-23
10515,27,120,43.9,2017-04-23
10515,33,16,2.5,2017-04-23
10515,60,84,34.0,2017-04-23
10516,18,25,62.5,2017-04-24
10516,41,80,9.65,2017-04-24
10516,42,20,14.0,2017-04-24
10517,52,6,7.0,2017-04-24
10517,59,4,55.0,2017-04-24
10517,70,6,15.0,2017-04-24
10518,24,5,4.5,2017-04-25
10518,38,15,263.5,2017-04-25
10518,44,9,19.45,2017-04-25
10519,10,16,31.0,2017-04-28
10519,56,40,38.0,2017-04-28
10519,60,10,34.0,2017-04-28
10520,24,8,4.5,2017-04-29
10520,53,5,32.8,2017-04-29
10521,35,3,18.0,2017-04-29
10521,41,10,9.65,2017-04-29
10521,68,6,12.5,2017-04-29
10522,1,40,18.0,2017-04-30
10522,8,24,40.0,2017-04-30
10522,30,20,25.89,2017-04-30
10522,40,25,18.4,2017-04-30
10523,17,25,39.0,2017-05-01
10523,20,15,81.0,2017-05-01
10523,37,18,26.0,2017-05-01
10523,41,6,9.65,2017-05-01
10524,10,2,31.0,2017-05-01
10524,30,10,25.89,2017-05-01
10524,43,60,46.0,2017-05-01
10524,54,15,7.45,2017-05-01
10525,36,30,19.0,2017-05-02
10525,40,15,18.4,2017-05-02
10526,1,8,18.0,2017-05-05
10526,13,10,6.0,2017-05-05
10526,56,30,38.0,2017-05-05
10527,4,50,22.0,2017-05-05
10527,36,30,19.0,2017-05-05
10528,11,3,21.0,2017-05-06
10528,33,8,2.5,2017-05-06
10528,72,9,34.8,2017-05-06
10529,55,14,24.0,2017-05-07
10529,68,20,12.5,2017-05-07
10529,69,10,36.0,2017-05-07
10530,17,40,39.0,2017-05-08
10530,43,25,46.0,2017-05-08
10530,61,20,28.5,2017-05-08
10530,76,50,18.0,2017-05-08
10531,59,2,55.0,2017-05-08
10532,30,15,25.89,2017-05-09
10532,66,24,17.0,2017-05-09
10533,4,50,22.0,2017-05-12
10533,72,24,34.8,2017-05-12
10533,73,24,15.0,2017-05-12
10534,30,10,25.89,2017-05-12
10534,40,10,18.4,2017-05-12
10534,54,10,7.45,2017-05-12
10535,11,50,21.0,2017-05-13
10535,40,10,18.4,2017-05-13
10535,57,5,19.5,2017-05-13
10535,59,15,55.0,2017-05-13
10536,12,15,38.0,2017-05-14
10536,31,20,12.5,2017-05-14
10536,33,30,2.5,2017-05-14
10536,60,35,34.0,2017-05-14
10537,31,30,12.5,2017-05-14
10537,51,6,53.0,2017-05-14
10537,58,20,13.25,2017-05-14
10537,72,21,34.8,2017-05-14
10537,73,9,15.0,2017-05-14
10538,70,7,15.0,2017-05-15
