production_id,machine_id,operation_type,quantity_produced,processing_time_min,energy_consumption_kwh,energy_intensity,machine_availability_percent,production_date,optimization_category
J052,M05,Grinding,3.91,23,9.2,2.352941176470588,82,2023-03-18,Low Efficiency
J053,M02,Lathe,1.85,97,4.77,2.5783783783783782,98,2023-03-18,Low Efficiency
J055,M05,Drilling,4.61,116,13.1,2.8416485900216917,99,2023-03-18,Low Efficiency
J056,M01,Drilling,4.2,104,11.91,2.8357142857142854,80,2023-03-18,Low Efficiency
J057,M02,Additive,1.04,31,6.53,6.278846153846154,86,2023-03-18,Low Efficiency
J058,M01,Grinding,1.03,83,8.42,8.174757281553397,81,2023-03-18,High Efficiency
J060,M01,Milling,3.29,66,8.69,2.641337386018237,80,2023-03-18,Moderate Efficiency
J064,M02,Lathe,4.81,71,7.42,1.5426195426195428,83,2023-03-18,High Efficiency
J068,M02,Lathe,3.48,116,9.64,2.770114942528736,82,2023-03-18,Low Efficiency
J069,M04,Additive,2.61,29,9.58,3.670498084291188,80,2023-03-18,Moderate Efficiency
J071,M04,Milling,2.62,25,7.29,2.782442748091603,95,2023-03-18,Low Efficiency
J072,M05,Grinding,3.52,68,6.05,1.71875,99,2023-03-18,High Efficiency
J073,M04,Drilling,4.17,112,11.57,2.774580335731415,89,2023-03-18,Moderate Efficiency
J074,M04,Milling,3.72,65,12.97,3.486559139784946,86,2023-03-18,Moderate Efficiency
J075,M05,Additive,3.55,85,7.52,2.1183098591549294,84,2023-03-18,High Efficiency
J077,M01,Milling,3.46,62,7.46,2.1560693641618496,84,2023-03-18,High Efficiency
J080,M04,Grinding,2.11,82,14.62,6.928909952606635,89,2023-03-18,Low Efficiency
J081,M02,Additive,4.01,69,11.72,2.922693266832918,88,2023-03-18,Low Efficiency
J082,M01,Drilling,1.73,24,13.39,7.739884393063584,98,2023-03-18,Low Efficiency
J083,M03,Drilling,4.15,59,12.15,2.927710843373494,85,2023-03-18,Moderate Efficiency
J085,M02,Lathe,3.38,44,3.35,0.9911242603550297,87,2023-03-18,High Efficiency
J086,M05,Drilling,2.77,77,14.07,5.07942238267148,93,2023-03-18,Moderate Efficiency
J088,M04,Additive,1.36,60,9.56,7.029411764705882,94,2023-03-18,Low Efficiency
J089,M04,Grinding,4.66,55,14.16,3.03862660944206,81,2023-03-18,Low Efficiency
J091,M02,Grinding,4.86,60,14.6,3.0041152263374484,83,2023-03-18,Low Efficiency
J095,M03,Lathe,3.43,113,9.22,2.688046647230321,89,2023-03-18,Low Efficiency
J098,M03,Grinding,3.87,91,14.55,3.75968992248062,92,2023-03-19,Moderate Efficiency
J100,M02,Grinding,2.71,27,12.24,4.516605166051661,96,2023-03-19,Moderate Efficiency
J101,M05,Additive,4.8,37,4.73,0.9854166666666668,92,2023-03-19,Low Efficiency
J102,M04,Grinding,4.96,110,14.56,2.935483870967742,88,2023-03-19,Low Efficiency
J104,M05,Milling,3.6,62,8.45,2.347222222222222,87,2023-03-19,Low Efficiency
J105,M03,Grinding,1.85,43,13.65,7.378378378378378,86,2023-03-19,Low Efficiency
J106,M03,Grinding,4.58,107,8.8,1.9213973799126638,80,2023-03-19,Low Efficiency
J108,M05,Lathe,3.28,78,14.78,4.5060975609756095,84,2023-03-19,Moderate Efficiency
J109,M05,Lathe,3.19,102,5.14,1.6112852664576802,84,2023-03-19,Low Efficiency
J110,M05,Additive,3.17,107,9.31,2.936908517350158,89,2023-03-19,Low Efficiency
J111,M01,Drilling,2.87,119,13.26,4.620209059233449,80,2023-03-19,Low Efficiency
J112,M02,Lathe,3.71,74,7.12,1.9191374663072778,95,2023-03-19,Moderate Efficiency
J113,M01,Drilling,3.77,103,2.25,0.596816976127321,95,2023-03-19,Low Efficiency
J115,M04,Lathe,1.32,114,9.49,7.1893939393939394,86,2023-03-19,High Efficiency
J116,M04,Milling,2.11,77,5.69,2.6966824644549767,90,2023-03-19,Low Efficiency
J117,M02,Grinding,1.57,67,5.41,3.445859872611465,81,2023-03-19,Low Efficiency
J119,M04,Drilling,1.09,58,6.55,6.009174311926605,89,2023-03-19,High Efficiency
J120,M04,Lathe,1.22,33,5.5,4.508196721311475,91,2023-03-19,High Efficiency
J121,M05,Additive,4.13,39,8.06,1.9515738498789348,91,2023-03-19,Low Efficiency
J122,M02,Grinding,3.22,102,7.75,2.4068322981366457,96,2023-03-19,Low Efficiency
J123,M04,Grinding,2.65,85,8.35,3.150943396226415,80,2023-03-19,Low Efficiency
J124,M01,Grinding,4.75,40,4.42,0.9305263157894736,80,2023-03-19,High Efficiency
J125,M02,Additive,2.43,76,3.58,1.4732510288065843,91,2023-03-19,High Efficiency
J126,M01,Milling,3.12,70,5.07,1.625,98,2023-03-19,Low Efficiency
J128,M04,Grinding,3.24,40,10.06,3.1049382716049383,91,2023-03-19,Low Efficiency
J129,M05,Grinding,2.07,45,7.75,3.743961352657005,84,2023-03-19,Moderate Efficiency
J130,M02,Milling,1.1,78,2.49,2.2636363636363637,96,2023-03-19,Optimal Efficiency
J131,M04,Drilling,3.55,78,4.87,1.3718309859154931,97,2023-03-19,Low Efficiency
J133,M01,Drilling,4.42,85,6.51,1.4728506787330315,92,2023-03-19,High Efficiency
J135,M01,Drilling,4.64,23,8.31,1.7909482758620692,86,2023-03-19,High Efficiency
J136,M04,Drilling,4.7,78,2.59,0.551063829787234,95,2023-03-19,Low Efficiency
J137,M01,Lathe,2.86,91,11.79,4.1223776223776225,89,2023-03-19,Moderate Efficiency
J139,M03,Additive,4.04,45,4.48,1.108910891089109,92,2023-03-19,High Efficiency
J140,M05,Drilling,2.58,100,8.54,3.3100775193798446,85,2023-03-19,Moderate Efficiency
J141,M03,Drilling,2.45,100,6.0,2.4489795918367343,91,2023-03-19,Low Efficiency
J142,M03,Lathe,2.69,110,3.75,1.3940520446096654,93,2023-03-19,Low Efficiency
J144,M03,Milling,2.1,47,6.24,2.9714285714285715,87,2023-03-19,Low Efficiency
J145,M05,Lathe,4.02,22,7.26,1.8059701492537314,97,2023-03-19,Moderate Efficiency
J148,M01,Lathe,3.74,39,9.65,2.5802139037433154,87,2023-03-19,High Efficiency
J152,M05,Milling,1.82,106,9.32,5.1208791208791204,96,2023-03-19,Moderate Efficiency
J153,M05,Lathe,1.73,66,5.45,3.1502890173410405,90,2023-03-19,High Efficiency
J154,M02,Grinding,2.11,111,7.67,3.6350710900473935,80,2023-03-19,Low Efficiency
J155,M03,Drilling,3.57,40,9.87,2.764705882352941,82,2023-03-19,Moderate Efficiency
J157,M03,Grinding,1.01,59,8.16,8.07920792079208,91,2023-03-19,Moderate Efficiency
J158,M05,Drilling,3.55,113,7.69,2.1661971830985918,80,2023-03-19,High Efficiency
J159,M02,Milling,1.15,46,3.01,2.617391304347826,89,2023-03-19,High Efficiency
J160,M01,Milling,4.25,118,9.57,2.251764705882353,87,2023-03-19,Moderate Efficiency
J161,M04,Milling,3.8,54,10.3,2.710526315789474,89,2023-03-19,Moderate Efficiency
J162,M01,Additive,2.25,58,11.7,5.199999999999999,92,2023-03-19,Moderate Efficiency
J163,M01,Milling,4.4,43,10.4,2.3636363636363633,80,2023-03-19,Low Efficiency
J165,M04,Milling,3.28,29,7.32,2.231707317073171,82,2023-03-19,High Efficiency
J167,M01,Grinding,1.29,35,7.2,5.5813953488372094,94,2023-03-19,Moderate Efficiency
J169,M03,Lathe,1.36,23,7.11,5.227941176470588,92,2023-03-19,High Efficiency
J170,M03,Milling,3.54,102,2.14,0.6045197740112994,99,2023-03-19,Low Efficiency
J171,M05,Drilling,2.58,72,13.69,5.3062015503875966,83,2023-03-19,Low Efficiency
J173,M02,Additive,1.85,64,12.14,6.562162162162162,82,2023-03-19,Moderate Efficiency
J176,M05,Milling,2.39,100,2.62,1.096234309623431,95,2023-03-19,High Efficiency
J177,M02,Drilling,3.51,97,9.08,2.586894586894587,97,2023-03-19,Moderate Efficiency
J178,M01,Drilling,4.43,82,10.58,2.3882618510158014,82,2023-03-19,Low Efficiency
J180,M02,Additive,3.46,69,3.76,1.0867052023121386,84,2023-03-19,Low Efficiency
J181,M02,Drilling,3.55,95,6.4,1.802816901408451,89,2023-03-19,Low Efficiency
J183,M04,Drilling,4.11,106,12.25,2.9805352798053524,80,2023-03-19,Low Efficiency
J184,M04,Additive,3.52,89,9.7,2.755681818181818,99,2023-03-19,Moderate Efficiency
J185,M04,Grinding,2.0,50,6.07,3.035,85,2023-03-19,High Efficiency
J186,M01,Milling,1.25,70,12.13,9.704,82,2023-03-19,Low Efficiency
J188,M02,Grinding,2.61,90,9.18,3.5172413793103448,83,2023-03-19,Low Efficiency
J189,M03,Drilling,3.38,50,11.6,3.4319526627218937,86,2023-03-19,Moderate Efficiency
J191,M01,Milling,4.16,114,5.81,1.3966346153846152,89,2023-03-19,High Efficiency
J192,M03,Drilling,1.04,100,6.93,6.663461538461538,82,2023-03-19,Low Efficiency
J193,M04,Drilling,4.82,80,14.08,2.921161825726141,80,2023-03-19,Moderate Efficiency
J194,M03,Lathe,4.81,57,8.84,1.837837837837838,94,2023-03-19,Moderate Efficiency
J195,M02,Drilling,2.53,88,7.32,2.8932806324110674,87,2023-03-19,Moderate Efficiency
J196,M02,Drilling,1.48,56,8.84,5.972972972972973,93,2023-03-19,Low Efficiency
J198,M04,Milling,2.33,74,2.46,1.055793991416309,92,2023-03-19,Optimal Efficiency
J199,M04,Lathe,4.52,90,7.61,1.683628318584071,94,2023-03-19,High Efficiency
J200,M02,Lathe,2.04,84,7.96,3.9019607843137254,94,2023-03-19,Low Efficiency
J204,M02,Grinding,1.66,113,5.93,3.572289156626506,80,2023-03-19,Low Efficiency
J207,M05,Milling,3.41,21,3.53,1.035190615835777,82,2023-03-19,Low Efficiency
J208,M01,Grinding,3.27,20,5.06,1.547400611620795,85,2023-03-19,High Efficiency
J210,M04,Drilling,1.1,76,10.49,9.536363636363635,80,2023-03-19,Moderate Efficiency
J211,M03,Milling,1.66,25,8.39,5.05421686746988,80,2023-03-19,Low Efficiency
J212,M01,Milling,1.45,96,4.27,2.9448275862068964,98,2023-03-19,High Efficiency
J214,M04,Grinding,2.39,36,4.59,1.920502092050209,85,2023-03-19,Low Efficiency
J215,M02,Milling,4.79,43,6.1,1.2734864300626303,91,2023-03-19,High Efficiency
J216,M01,Lathe,3.51,42,10.46,2.9800569800569803,95,2023-03-19,Moderate Efficiency
J217,M02,Grinding,3.35,109,4.75,1.417910447761194,95,2023-03-19,Low Efficiency
J219,M05,Additive,1.46,107,11.19,7.664383561643835,97,2023-03-19,Low Efficiency
J220,M05,Milling,1.62,70,4.22,2.604938271604938,81,2023-03-19,Low Efficiency
J225,M03,Milling,4.52,22,13.02,2.880530973451328,80,2023-03-19,Moderate Efficiency
J226,M04,Grinding,3.11,105,7.9,2.5401929260450165,88,2023-03-19,Low Efficiency
J228,M02,Lathe,4.66,77,8.47,1.8175965665236051,82,2023-03-19,Low Efficiency
J229,M01,Milling,4.49,59,13.77,3.0668151447661467,83,2023-03-19,Moderate Efficiency
J230,M01,Milling,2.36,65,11.13,4.716101694915255,88,2023-03-19,Moderate Efficiency
J232,M01,Grinding,3.62,106,11.48,3.1712707182320443,98,2023-03-19,Low Efficiency
J233,M04,Milling,3.03,88,2.35,0.7755775577557756,81,2023-03-19,Low Efficiency
J234,M01,Grinding,4.31,111,9.95,2.308584686774942,98,2023-03-19,Moderate Efficiency
J235,M03,Lathe,4.37,56,6.94,1.5881006864988558,89,2023-03-19,Low Efficiency
J236,M02,Lathe,4.49,26,7.84,1.7461024498886413,97,2023-03-19,High Efficiency
J237,M01,Grinding,3.53,83,6.17,1.7478753541076488,83,2023-03-19,High Efficiency
J238,M05,Additive,4.1,95,7.18,1.751219512195122,89,2023-03-19,Low Efficiency
J241,M01,Milling,2.65,95,9.52,3.5924528301886793,91,2023-03-20,Moderate Efficiency
J242,M05,Lathe,4.51,102,10.33,2.2904656319290466,97,2023-03-20,Low Efficiency
J243,M02,Lathe,2.34,56,4.43,1.893162393162393,85,2023-03-20,High Efficiency
J245,M02,Additive,2.86,25,2.84,0.993006993006993,82,2023-03-20,High Efficiency
J246,M01,Milling,1.69,40,3.02,1.78698224852071,90,2023-03-20,Low Efficiency
J247,M02,Milling,4.81,84,12.46,2.5904365904365907,95,2023-03-20,Low Efficiency
J248,M01,Drilling,4.07,51,5.84,1.4348894348894348,91,2023-03-20,Low Efficiency
J249,M03,Milling,1.48,67,3.71,2.5067567567567566,94,2023-03-20,High Efficiency
J250,M02,Milling,1.32,79,6.4,4.848484848484849,96,2023-03-20,Low Efficiency
J251,M01,Milling,1.02,21,8.57,8.401960784313726,89,2023-03-20,Low Efficiency
J252,M05,Milling,4.59,38,13.14,2.8627450980392157,96,2023-03-20,Low Efficiency
J253,M01,Milling,4.49,43,9.9,2.2048997772828507,87,2023-03-20,Moderate Efficiency
J255,M01,Grinding,1.82,38,11.78,6.472527472527472,83,2023-03-20,Low Efficiency
J256,M01,Grinding,1.73,60,4.89,2.8265895953757223,82,2023-03-20,High Efficiency
J257,M02,Additive,2.86,120,5.09,1.7797202797202798,82,2023-03-20,High Efficiency
J258,M05,Drilling,1.58,28,9.23,5.841772151898734,88,2023-03-20,Low Efficiency
J259,M03,Lathe,2.91,24,7.41,2.5463917525773194,95,2023-03-20,Low Efficiency
J263,M04,Lathe,3.65,38,14.87,4.073972602739726,80,2023-03-20,Moderate Efficiency
J265,M04,Milling,2.77,97,6.15,2.220216606498195,82,2023-03-20,Low Efficiency
J267,M02,Drilling,4.42,101,8.25,1.8665158371040724,80,2023-03-20,Low Efficiency
J268,M04,Lathe,4.24,105,6.98,1.6462264150943395,93,2023-03-20,High Efficiency
J270,M04,Drilling,4.32,75,14.44,3.342592592592592,81,2023-03-20,Moderate Efficiency
J271,M01,Grinding,1.78,21,7.47,4.1966292134831455,83,2023-03-20,Low Efficiency
J272,M04,Lathe,3.17,55,13.68,4.315457413249211,84,2023-03-20,Low Efficiency
J274,M05,Lathe,2.17,20,4.29,1.976958525345622,97,2023-03-20,Low Efficiency
J275,M03,Additive,3.21,94,14.67,4.570093457943925,93,2023-03-20,Moderate Efficiency
J277,M01,Lathe,2.0,76,12.37,6.185,88,2023-03-20,Moderate Efficiency
J278,M03,Additive,2.08,58,14.2,6.826923076923077,91,2023-03-20,Moderate Efficiency
J279,M04,Milling,2.15,64,2.45,1.1395348837209303,81,2023-03-20,High Efficiency
J280,M05,Drilling,2.62,66,9.66,3.687022900763359,89,2023-03-20,Low Efficiency
J281,M03,Lathe,4.82,59,8.66,1.796680497925311,95,2023-03-20,High Efficiency
J282,M03,Lathe,3.17,30,10.21,3.2208201892744484,88,2023-03-20,Moderate Efficiency
J283,M01,Additive,1.52,37,9.47,6.230263157894737,96,2023-03-20,Low Efficiency
J285,M01,Additive,3.25,106,13.31,4.095384615384615,86,2023-03-20,Moderate Efficiency
J286,M04,Additive,3.22,107,6.69,2.077639751552795,91,2023-03-20,High Efficiency
J287,M02,Lathe,3.31,95,5.56,1.6797583081570995,85,2023-03-20,High Efficiency
J288,M02,Additive,2.97,36,6.56,2.2087542087542085,82,2023-03-20,High Efficiency
J289,M02,Grinding,1.49,97,5.47,3.6711409395973154,81,2023-03-20,Low Efficiency
J290,M05,Grinding,3.82,81,10.72,2.8062827225130893,99,2023-03-20,Moderate Efficiency
J291,M03,Milling,5.0,26,12.76,2.552,95,2023-03-20,Moderate Efficiency
J292,M04,Additive,2.41,93,9.8,4.066390041493776,91,2023-03-20,Moderate Efficiency
J293,M04,Drilling,1.8,103,13.09,7.272222222222222,82,2023-03-20,Low Efficiency
J294,M03,Drilling,4.27,90,6.74,1.5784543325526934,87,2023-03-20,Low Efficiency
J295,M02,Additive,2.46,39,10.97,4.4593495934959355,96,2023-03-20,Moderate Efficiency
J298,M04,Additive,2.19,116,4.79,2.1872146118721463,95,2023-03-20,Low Efficiency
J300,M04,Additive,3.42,20,6.24,1.824561403508772,92,2023-03-20,High Efficiency
J301,M02,Drilling,3.16,87,5.09,1.610759493670886,92,2023-03-20,High Efficiency
J303,M05,Additive,1.5,38,6.46,4.306666666666667,96,2023-03-20,Low Efficiency
J304,M03,Drilling,1.07,75,6.02,5.6261682242990645,99,2023-03-20,Low Efficiency
J305,M05,Additive,4.33,89,12.46,2.8775981524249423,81,2023-03-20,Moderate Efficiency
J306,M03,Lathe,2.92,77,9.46,3.2397260273972606,99,2023-03-20,Low Efficiency
J308,M01,Additive,1.25,50,3.41,2.728,80,2023-03-20,High Efficiency
J310,M04,Grinding,2.35,50,8.24,3.5063829787234044,94,2023-03-20,Low Efficiency
J314,M05,Grinding,4.39,113,10.52,2.396355353075171,80,2023-03-20,Moderate Efficiency
J315,M05,Grinding,4.4,51,4.67,1.0613636363636363,91,2023-03-20,High Efficiency
J316,M02,Milling,3.4,105,14.25,4.1911764705882355,87,2023-03-20,Moderate Efficiency
J317,M05,Additive,4.77,70,4.67,0.979035639412998,88,2023-03-20,Low Efficiency
J318,M02,Drilling,3.6,87,10.22,2.838888888888889,95,2023-03-20,Low Efficiency
J319,M03,Milling,3.45,23,10.48,3.03768115942029,80,2023-03-20,Low Efficiency
J320,M04,Grinding,2.91,39,2.7,0.9278350515463918,92,2023-03-20,High Efficiency
J322,M03,Lathe,3.62,80,10.42,2.8784530386740332,88,2023-03-20,Low Efficiency
J323,M01,Grinding,2.23,90,5.88,2.6367713004484306,95,2023-03-20,High Efficiency
J326,M01,Additive,3.87,60,4.74,1.2248062015503876,94,2023-03-20,High Efficiency
J327,M04,Grinding,2.87,73,11.29,3.933797909407665,94,2023-03-20,Moderate Efficiency
J328,M05,Milling,2.3,57,13.77,5.98695652173913,81,2023-03-20,Moderate Efficiency
J330,M01,Additive,4.14,54,8.66,2.091787439613527,86,2023-03-20,Low Efficiency
J331,M04,Additive,4.45,27,5.78,1.2988764044943821,97,2023-03-20,Low Efficiency
J332,M05,Grinding,1.19,114,9.52,8.0,81,2023-03-20,Low Efficiency
J335,M05,Additive,2.63,59,13.01,4.946768060836502,85,2023-03-20,Moderate Efficiency
J336,M05,Grinding,4.69,25,10.4,2.2174840085287846,87,2023-03-20,Low Efficiency
J338,M01,Additive,2.04,71,13.97,6.848039215686275,93,2023-03-20,Low Efficiency
J339,M03,Lathe,1.8,74,11.52,6.3999999999999995,94,2023-03-20,Moderate Efficiency
J343,M02,Grinding,4.88,100,10.38,2.127049180327869,90,2023-03-20,Low Efficiency
J344,M01,Lathe,3.32,94,14.98,4.5120481927710845,86,2023-03-20,Moderate Efficiency
J346,M04,Drilling,3.59,29,13.78,3.8384401114206126,80,2023-03-20,Low Efficiency
J347,M01,Lathe,4.02,73,14.45,3.59452736318408,96,2023-03-20,Low Efficiency
J348,M02,Drilling,1.74,92,8.79,5.051724137931034,91,2023-03-20,High Efficiency
J349,M04,Grinding,3.27,86,10.39,3.1773700305810397,96,2023-03-20,Low Efficiency
J350,M03,Additive,2.11,77,10.81,5.1232227488151665,95,2023-03-20,Low Efficiency
J351,M04,Additive,2.12,51,9.83,4.636792452830188,87,2023-03-20,Moderate Efficiency
J352,M01,Lathe,2.46,93,14.04,5.7073170731707314,82,2023-03-20,Moderate Efficiency
J353,M02,Additive,2.46,36,5.98,2.4308943089430897,84,2023-03-20,High Efficiency
J354,M03,Grinding,1.3,61,13.62,10.476923076923075,84,2023-03-20,Moderate Efficiency
J355,M03,Drilling,4.99,87,5.88,1.1783567134268536,80,2023-03-20,Low Efficiency
J356,M01,Lathe,2.22,101,10.12,4.558558558558558,85,2023-03-20,Low Efficiency
J357,M05,Additive,2.75,116,11.31,4.112727272727273,99,2023-03-20,Low Efficiency
J359,M04,Grinding,2.73,90,7.96,2.9157509157509156,91,2023-03-20,Low Efficiency
J360,M05,Additive,1.81,29,8.0,4.419889502762431,97,2023-03-20,Moderate Efficiency
J361,M05,Drilling,4.31,83,4.43,1.0278422273781902,85,2023-03-20,Low Efficiency
J362,M02,Drilling,1.25,50,12.64,10.112,83,2023-03-20,Moderate Efficiency
J363,M04,Milling,4.13,118,3.21,0.7772397094430993,85,2023-03-20,Low Efficiency
J364,M05,Additive,2.57,115,6.41,2.4941634241245136,81,2023-03-20,High Efficiency
J365,M05,Additive,4.36,106,9.52,2.18348623853211,94,2023-03-20,Low Efficiency
J366,M03,Drilling,1.15,47,12.4,10.782608695652176,92,2023-03-20,Moderate Efficiency
J367,M05,Drilling,3.64,38,12.38,3.401098901098901,93,2023-03-20,Moderate Efficiency
J368,M03,Grinding,3.79,63,8.96,2.3641160949868074,85,2023-03-20,Moderate Efficiency
J369,M04,Grinding,1.6,76,5.98,3.7375000000000003,90,2023-03-20,Low Efficiency
J371,M01,Lathe,2.29,32,4.38,1.9126637554585153,88,2023-03-20,Low Efficiency
J373,M05,Grinding,1.1,95,4.05,3.681818181818181,89,2023-03-20,Low Efficiency
J374,M02,Milling,3.88,48,7.49,1.9304123711340206,98,2023-03-20,Low Efficiency
J376,M04,Drilling,3.87,52,13.19,3.408268733850129,88,2023-03-20,Low Efficiency
J377,M02,Milling,2.39,61,6.11,2.5564853556485354,94,2023-03-20,High Efficiency
J379,M01,Additive,4.05,47,5.13,1.2666666666666666,81,2023-03-20,Low Efficiency
J380,M02,Lathe,3.25,46,4.7,1.4461538461538461,98,2023-03-20,High Efficiency
J381,M01,Additive,1.33,89,7.85,5.902255639097744,86,2023-03-20,High Efficiency
J382,M04,Lathe,3.53,72,14.49,4.1048158640226635,99,2023-03-20,Moderate Efficiency
J384,M01,Grinding,2.66,50,11.62,4.368421052631579,91,2023-03-20,Low Efficiency
J385,M02,Milling,4.75,59,3.65,0.7684210526315789,80,2023-03-21,High Efficiency
J386,M05,Grinding,2.75,73,5.47,1.989090909090909,87,2023-03-21,High Efficiency
J387,M01,Grinding,3.21,42,4.47,1.3925233644859814,99,2023-03-21,Low Efficiency
J388,M05,Milling,1.2,24,11.46,9.55,97,2023-03-21,Low Efficiency
J389,M01,Additive,4.56,71,9.02,1.9780701754385965,83,2023-03-21,High Efficiency
J391,M03,Lathe,2.59,35,4.83,1.864864864864865,83,2023-03-21,Low Efficiency
J392,M01,Milling,2.92,96,10.86,3.719178082191781,87,2023-03-21,Low Efficiency
J393,M01,Grinding,2.96,69,2.09,0.706081081081081,95,2023-03-21,Low Efficiency
J394,M02,Milling,2.5,74,10.7,4.279999999999999,96,2023-03-21,Moderate Efficiency
J395,M03,Lathe,2.89,66,13.0,4.498269896193771,87,2023-03-21,Low Efficiency
J396,M02,Milling,1.98,67,6.88,3.474747474747475,89,2023-03-21,Low Efficiency
J398,M01,Grinding,4.09,82,13.87,3.39119804400978,86,2023-03-21,Low Efficiency
J399,M05,Additive,4.76,80,12.18,2.558823529411765,91,2023-03-21,Low Efficiency
J402,M04,Milling,2.94,113,10.78,3.6666666666666665,94,2023-03-21,Low Efficiency
J403,M05,Grinding,2.07,113,11.6,5.603864734299517,96,2023-03-21,Moderate Efficiency
J405,M03,Drilling,3.04,100,8.05,2.648026315789474,88,2023-03-21,Moderate Efficiency
J406,M02,Drilling,1.32,87,3.5,2.6515151515151514,83,2023-03-21,High Efficiency
J408,M03,Drilling,1.42,54,7.62,5.366197183098592,88,2023-03-21,High Efficiency
J410,M05,Milling,3.4,93,2.77,0.8147058823529412,91,2023-03-21,High Efficiency
J413,M04,Grinding,1.53,22,4.23,2.7647058823529416,98,2023-03-21,Low Efficiency
J416,M01,Additive,3.38,107,11.97,3.5414201183431957,97,2023-03-21,Low Efficiency
J418,M04,Grinding,1.35,40,8.17,6.051851851851851,86,2023-03-21,High Efficiency
J419,M05,Lathe,1.3,43,13.53,10.407692307692306,80,2023-03-21,Moderate Efficiency
J420,M02,Additive,3.69,115,12.24,3.3170731707317076,85,2023-03-21,Low Efficiency
J421,M02,Milling,4.3,96,9.69,2.2534883720930234,82,2023-03-21,Low Efficiency
J422,M01,Additive,1.49,119,6.31,4.23489932885906,87,2023-03-21,Low Efficiency
J427,M05,Milling,3.79,64,10.25,2.704485488126649,98,2023-03-21,Low Efficiency
J428,M05,Milling,3.22,37,11.13,3.456521739130435,88,2023-03-21,Low Efficiency
J429,M01,Drilling,4.36,60,13.16,3.018348623853211,89,2023-03-21,Low Efficiency
